index,artist,country,country_group,artwork,type,auction_house,auction_location,cm_x,cm_y,year_sold,month_sold,year_made,price_usd
23146,Rom Isichei,Nigeria,West Africa,Passages,work on canvas,Arthouse Contemporary Limited,lagos,195.6054,195.6054,2017,11,2017,10435.0
12267,Cecil Edwin Frans Skotnes,South Africa,Southern Africa,THREE STANDING FIGURES,work on panel,Stephan Welz & Co,johannesburg,119.9896,119.9896,2009,8,2009,111645.0
21269,Farhad Moshiri,Iran,Middle East,Angel,work on canvas,Bonhams,dubai,180.0098,180.0098,2008,11,2008,264000.0
18885,Claudio Nelson (Camus) Bravo,Morocco,North Africa,Boots and shoes,work on paper,Sotheby's,new york,104.14,104.14,1993,11,1993,32500.0
41600,Michael Rapoport,Israel,Middle East,UNTITLED (BETWEEN DAY AND NIGHT),work on canvas,Sotheby's,new york,160.02,160.02,2014,12,2014,15000.0
42794,fahl el-nissa zeid,Turkey,Middle East,UNTITLED,work on canvas,Sotheby's,bond street,63.7032,63.7032,2011,4,2011,92085.0
30663,Yohanan Simon,Israel,Middle East,Fantastic landscape,work on canvas,Matsart Auctioneers & Appraisers,king david st.,24.9936,24.9936,2011,6,2011,1955.0
33436,Mamdouh Kashlan,Syria,Middle East,Hammam Al Nissaa’s bil sham (Women’s public bath in Damascus),work on canvas,Christie's,"london, king street",199.9996,199.9996,2019,10,2019,29070.0
30326,Yaacov (Gibstein) Agam,Israel,Middle East,Tactile miniature,mixed media,Sotheby's,new york,10.16,10.16,1993,6,1993,1380.0
24984,Yosl (Yosel) Bergner,Israel,Middle East,Musicians,work on paper,Montefiore Auction House,nachmani street,27.0002,27.0002,2012,3,2012,1725.0
4903,Carl Adolph Buchner,South Africa,Southern Africa,Young Boy,work on canvas,Stephan Welz & Co,cape town,32.0,32.0,2008,10,2008,383.0
43411,Avigdor Arikha,Israel,Middle East,Composition abstraite,work on paper,Joron-Derem,rue ste. anne,48.9966,48.9966,2012,6,2012,1256.0
36548,Aydeen Aghdashloo,Iran,Middle East,Untitled,work on board,Bonhams,dubai,67.0052,67.0052,2008,11,2008,30000.0
9232,George Milwa Mnyaluza Pemba,South Africa,Southern Africa,PORTRAIT OF SOL PLAATJE,work on canvas,Bonhams,bond street,38.8112,38.8112,2014,10,2014,20230.0
13825,Eli Kobeli,South Africa,Southern Africa,RED DOEKS,work on board,Stephan Welz & Co,johannesburg,64.9986,64.9986,2008,4,2008,3192.0
23473,Kainebi Osahenye,Nigeria,West Africa,Dancing Spirit',work on canvas,Bonhams,bond street,94.0054,94.0054,2016,5,2016,1836.0
37000,Fadia Haddad,Lebanon,Middle East,Personnage,work on paper,Digard,rue drouot,27.0002,27.0002,2012,3,2012,329.0
8461,Dylan Lewis,South Africa,Southern Africa,LEOPARD-BUST VII' MAQUETTE,work on canvas,Bonhams,bond street,12.7,12.7,2012,10,2012,14080.0
17502,Fouad Kamel,England,Europe,Untitled,work on canvas,Christie's,dubai,54.99100000000001,54.99100000000001,2015,3,2015,40000.0
14342,Errol Stephen Boyley,Congo DRC,Central Africa,FARM HOUSE,work on board,Stephan Welz & Co,cape town,40.005,40.005,2015,5,2015,1711.0
25247,Yosl (Yosel) Bergner,Israel,Middle East,"Radish in a Bin, 1970",work on canvas,Tiroche Auction House,kikar de shalif,37.9984,37.9984,2018,1,2018,6900.0
39506,Menashe Kadishman,Israel,Middle East,Sheep's Head,work on canvas,Montefiore Auction House,nachmani street,50.0126,50.0126,2016,7,2016,1800.0
10556,Jacob Hendrik Pierneef,South Africa,Southern Africa,MOUNTAIN LANDSCAPE WITH PINE TREES,work on paper,Stephan Welz & Co,johannesburg,62.0014,62.0014,1994,2,1994,6110.0
3136,Walter Whall Battiss,South Africa,Southern Africa,Documenta 7 Kassel,work on canvas,Russell Kaplan Auctioneers,johannesburg,50.5,50.5,2014,10,2014,1141.0
42454,Georges Hanna Sabbagh,Egypt,North Africa,MADINATUM LUXOR,work on paper,Cornette De Saint Cyr,avenue kleber,40.005,40.005,2011,12,2011,571.0
2097,Reinata Sadimba,Mozambique,Southern Africa,Untitled,sculpture,Piasa,paris,20.0,18.0,2020,2,2020,5850.0
46243,Zoya Cherkassky,Israel,Middle East,Action painting no. 1,work on canvas,Matsart Auctioneers & Appraisers,king david st.,316.992,316.992,2013,7,2013,36000.0
12026,Cecil Edwin Frans Skotnes,South Africa,Southern Africa,Totem Pole,sculpture,5th Avenue Auctioneers,johannesburg,24.003,24.003,2014,4,2014,12310.0
12282,Cecil Edwin Frans Skotnes,South Africa,Southern Africa,Still Life with Fruit and Wine,work on panel,Strauss & Co,cape town,46.99,46.99,2019,10,2019,5995.0
14093,Cheri Cherin,Congo DRC,Central Africa,"Passion Juvenille, 2019",work on canvas,Millon & Associes,paris,177.0126,177.0126,2019,3,2019,3689.0
32592,Moshe Elazar Castel,Israel,Middle East,Simchat Torah,work on canvas,Tiroche Auction House,kikar de shalif,50.0126,50.0126,2017,1,2017,10350.0
28137,Abidin Dino,Turkey,Middle East,Quartier de Galata à Istanbul,work on paper,Boisgirard-Antonini,rue de la grange bateliere,16.51,16.51,2017,6,2017,446.0
30394,Yaacov (Gibstein) Agam,Israel,Middle East,"Star of David, 1985",work on paper,Tiroche Auction House,kikar de shalif,64.008,64.008,2018,1,2018,6325.0
20186,Yigal Ozeri,Israel,Middle East,From the Dress Series,work on board,Tiroche Auction House,kikar de shalif,43.9928,43.9928,2011,6,2011,6325.0
16541,Stanley Faraday Pinker,South Africa,Southern Africa,Nude Under a Bridge,work on board,Strauss & Co,cape town,56.007,56.007,2013,2,2013,31230.0
20022,Paul Guiragossian,Lebanon,Middle East,LES FIANÇAILLES (THE ENGAGEMENT),work on canvas,Sotheby's,bond street,64.9986,64.9986,2008,10,2008,110390.0
7664,Gerard Sekoto,South Africa,Southern Africa,HEAD OF MAN,work on canvas,Stephan Welz & Co,johannesburg,26.0096,26.0096,1993,3,1993,943.0
14977,Adriaan Boshoff,Congo DRC,Central Africa,CHURCH,work on board,Stephan Welz & Co,cape town,13.9954,13.9954,2014,10,2014,1781.0
15800,Tinus de Jongh,South Africa,Southern Africa,SUNSET ON MOUNTAINS,work on canvas,Freeman's,philadelphia,50.8,50.8,2011,6,2011,4063.0
13744,Eli Kobeli,South Africa,Southern Africa,Men at Work,work on paper,5th Avenue Auctioneers,johannesburg,65.9892,65.9892,2013,10,2013,224.0
25378,Yosl (Yosel) Bergner,Israel,Middle East,Still Life and Romantic Couple,work on canvas,Tiroche Auction House,kikar de shalif,45.9994,45.9994,2015,1,2015,6325.0
38995,Menashe Kadishman,Israel,Middle East,Sheep head,work on canvas,Matsart Auctioneers & Appraisers,king david st.,29.9974,29.9974,2017,11,2017,500.0
9818,Pierre Bodo,Congo DRC,Central Africa,"L’ŒIL DU VOYANT, 2013",work on canvas,Cornette De Saint Cyr,france,110.0074,110.0074,2017,4,2017,4077.0
2037,Bambo Sibiya,South Africa,Southern Africa,"Soweto Blues, 2018",paintings,Piasa,paris,57.0,67.0,2018,11,2018,2901.0
39803,Menashe Kadishman,Israel,Middle East,SHEEP STILE,sculpture,Sotheby's,new york,182.88,182.88,2015,12,2015,23750.0
16899,Pilipili Mulongoy,Congo DRC,Central Africa,Pintades,work on canvas,Cornette De Saint Cyr,avenue kleber,94.0054,94.0054,2018,6,2018,2329.0
3025,Walter Whall Battiss,South Africa,Southern Africa,Nauplion,work on canvas,Strauss & Co,cape town,46.0,46.0,2015,10,2015,2217.0
29489,Igael Tumarkin,Israel,Middle East,Sans titre,work on paper,Piasa,paris,46.99,46.99,2010,12,2010,2516.0
29075,Igael Tumarkin,Israel,Middle East,"Belchite, 1993-94",work on canvas,Matsart Auctioneers & Appraisers,king david st.,143.002,143.002,2015,4,2015,13800.0
29398,Igael Tumarkin,Israel,Middle East,Hill,work on paper,Montefiore Auction House,nachmani street,65.9892,65.9892,2012,3,2012,2760.0
6833,Henri Mzili Mujunga,Uganda,East Africa,"Sans titre, 2005",work on canvas,"Tajan, Paris",france,45.0,45.0,2007,6,2007,3365.0
43403,Avigdor Arikha,Israel,Middle East,Composition abstraite,work on paper,Joron-Derem,rue ste. anne,27.0002,27.0002,2012,6,2012,502.0
12829,Christo Coetzee,South Africa,Southern Africa,Abstract Composition,work on paper,Strauss & Co,johannesburg,29.0068,29.0068,2020,11,2020,2224.0
2806,Walter Whall Battiss,South Africa,Southern Africa,Dancing Figures (recto) Figure and Fruit(verso),work on canvas,Strauss & Co,johannesburg,76.0,76.0,2017,11,2017,21180.0
1019,Ben Enwonwu,Nigeria,West Africa,Procession In The Forest,paintings,Bonhams,bond street,120.0,90.0,2017,2,2017,65450.0
34225,Fikret Mualla Saygı,Turkey,Middle East,Seated Woman,work on canvas,Millon & Associes,paris,18.0086,18.0086,2017,6,2017,4466.0
3224,Walter Whall Battiss,South Africa,Southern Africa,Figures on a blue background,work on canvas,Stephan Welz & Co,johannesburg,31.0,31.0,2013,11,2013,8950.0
38664,Menashe Kadishman,Israel,Middle East,Sheep head,work on canvas,Matsart Auctioneers & Appraisers,king david st.,50.0126,50.0126,2020,12,2020,2358.0
35325,Charles Hossein Zenderoudi,Iran,Middle East,Portrait of Ms Mehri Majd,work on paper,Bonhams,bond street,35.0012,35.0012,2019,5,2019,11500.0
15957,Tinus de Jongh,South Africa,Southern Africa,RIVER IN A MOUNTAINOUS LANDSCAPE,work on canvas,Stephan Welz & Co,johannesburg,32.512,32.512,2017,11,2017,2143.0
4520,George Lilanga Di Nyama,Tanzania,East Africa,Hidala Ya Wakata Miti IV12A,work on canvas,Pierre Berge,blank,122.5,122.5,2010,4,2010,10310.0
17443,Lemi Ghariokwu,Nigeria,West Africa,YELLOW,work on canvas,Arthouse Contemporary Limited,lagos,100.9904,100.9904,2019,2,2019,2470.0
9056,Ephraim Mojalefa Ngatane,South Africa,Southern Africa,MUSICIANS,work on canvas,Stephan Welz & Co,johannesburg,29.0068,29.0068,2017,11,2017,8575.0
46097,Kadhim Hayder,Iraq,Middle East,THE MARTYR'S EPIC,work on canvas,Sotheby's,bond street,126.492,126.492,2011,10,2011,59660.0
27191,Reuven (Zelicovici) Rubin,Israel,Middle East,2 Horsemen,work on canvas,Tiroche Auction House,kikar de shalif,72.9996,72.9996,2017,6,2017,253000.0
7267,Gerard Sekoto,South Africa,Southern Africa,SUNRISE OVER A TOWNSHIP,work on canvas,Stephan Welz & Co,cape town,32.512,32.512,2014,10,2014,13825.0
45907,Meir Pichhadze,Israel,Middle East,Horse,work on canvas,Tiroche Auction House,kikar de shalif,80.01,80.01,2017,6,2017,6325.0
38091,Hatice Kumbaraci Gursoz,Turkey,Middle East,Migration,work on canvas,"Ankara Antikacilik, Fine Arts and Antiques Auction",vadi ikizleri sitesi,110.0074,110.0074,2018,1,2018,1329.0
24120,Abdulnasser Gharem,Saudi Arabia,Middle East,DETOUR,other,Sotheby's,bond street,105.0036,105.0036,2019,11,2019,14545.0
7531,Gerard Sekoto,South Africa,Southern Africa,AFRICAN DANCERS,work on canvas,Bonhams,england,36.4998,36.4998,2008,9,2008,8510.0
35731,Mahmoud Said,Egypt,North Africa,L'île Heureuse,work on board,Bonhams,bond street,70.0024,70.0024,2016,10,2016,1465390.0
2760,Walter Whall Battiss,South Africa,Southern Africa,Diptych: Bellies,work on canvas,Russell Kaplan Auctioneers,johannesburg,31.5,31.5,2018,5,2018,342.0
7064,Ihosvanny Cisneros,Angola,Central Africa,"Riots and Rage, 2011",work on canvas,Piasa,paris,190.0,190.0,2019,11,2019,13260.0
4752,Carl Adolph Buchner,South Africa,Southern Africa,Grey Face Against An Ochre Background,work on canvas,Stephan Welz & Co,johannesburg,29.0,29.0,2013,8,2013,511.0
38220,Sigalit Landau,Israel,Middle East,"Untitled, 2015",mixed media,Tiroche Auction House,kikar de shalif,29.9974,29.9974,2020,1,2020,1180.0
3855,William Kentridge,South Africa,Southern Africa,Drawing from 'Preparing the Flute' (Backdrop and Stage),work on canvas,Christie's,"london, king street",120.5,120.5,2015,10,2015,37560.0
2391,Mario Macilau,Mozambique,Southern Africa,Window,photography,Aspire Art Auctions,johannesburg,77.0,52.0,2020,2,2020,2293.0
7429,Gerard Sekoto,South Africa,Southern Africa,PORTRAIT OF A YOUTH,work on canvas,Bonhams,bond street,50.0126,50.0126,2010,3,2010,11730.0
35228,Burhan Doğançay,Turkey,Middle East,"WALLS 72, NO - 12",work on canvas,Susanin's Auctioneers & Appraisers,south clinton street,152.4,152.4,2013,5,2013,115000.0
47865,Reuven (Zelicovici) Rubin,Israel,Middle East,The fisherman,work on paper,Tiroche Auction House,kikar de shalif,23.0124,23.0124,2019,2,2019,2360.0
13109,Frans David Oerder,South Africa,Southern Africa,Farmhouse,work on paper,Stephan Welz & Co,johannesburg,48.006,48.006,2004,11,2004,1471.0
25201,Yosl (Yosel) Bergner,Israel,Middle East,Wedding,work on paper,Tiroche Auction House,kikar de shalif,24.003,24.003,2019,2,2019,885.0
14493,Errol Stephen Boyley,Congo DRC,Central Africa,LANDSCAPE WITH FLYING GEESE,work on canvas,Stephan Welz & Co,johannesburg,43.9928,43.9928,2009,8,2009,4294.0
4054,William Kentridge,South Africa,Southern Africa,Construction Yard,work on canvas,Stephan Welz & Co,cape town,115.0,115.0,2008,10,2008,44750.0
6548,John Goba,Sierra Leone,West Africa,"Chief Borm-Bormlai, 1995",work on canvas,Phillips de Pury & Co.,new york,106.68,106.68,2010,5,2010,6000.0
46881,Meir Pichhadze,Israel,Middle East,Flower Vase,work on canvas,Tiroche Auction House,kikar de shalif,29.0068,29.0068,2017,1,2017,3220.0
20227,Louai Kayyali,Syria,Middle East,The Lottery Boy or 'Seller of Yanaseeb',work on canvas,Bonhams,dubai,73.5076,73.5076,2008,3,2008,132000.0
13363,Cheri Samba,Congo DRC,Central Africa,Lobiko Na Bilanga,work on canvas,Galerie Moderne,belgium,97.0026,97.0026,2020,10,2020,4953.0
5528,Peter Clarke,South Africa,Southern Africa,"Fisherman's Hut, Froggy Pond Beach",work on canvas,Stephan Welz & Co,cape town,24.0,24.0,2013,6,2013,910.0
6564,Segun Aiyesan,Nigeria,West Africa,ODE TO DAVINCI- IYA LODE,work on canvas,Arthouse Contemporary Limited,lagos,122.0,122.0,2015,11,2015,8440.0
13837,Eli Kobeli,South Africa,Southern Africa,THE NEWSPAPER READER,work on board,Stephan Welz & Co,johannesburg,42.4942,42.4942,2007,11,2007,5775.0
12571,Christo Coetzee,South Africa,Southern Africa,"""Senza titolo""",work on paper,Il Ponte,italy,50.0126,50.0126,2015,5,2015,334.0
2375,Vusi Beauchamp,South Africa,Southern Africa,A Bee,paintings,Piasa,paris,128.5,102.0,2020,2,2020,3655.0
20932,Hussein Madi,Lebanon,Middle East,abstract flora,work on canvas,Bonhams,bond street,80.01,80.01,2019,5,2019,14765.0
6717,Ephrem Solomon,Ethiopia,East Africa,Untitled Life IV (2013),work on canvas,Bonhams,bond street,94.95,94.95,2020,9,2020,8115.0
30753,Yohanan Simon,Israel,Middle East,Opulence,work on canvas,Matsart Auctioneers & Appraisers,king david st.,21.9964,21.9964,2005,6,2005,2875.0
26117,Nahum Gutman,Israel,Middle East,An Immigrant Ship,work on paper,Tiroche Auction House,kikar de shalif,59.9948,59.9948,2015,6,2015,12650.0
12139,Cecil Edwin Frans Skotnes,South Africa,Southern Africa,Head,work on panel,Bonhams,england,40.005,40.005,2012,10,2012,9635.0
4913,Carl Adolph Buchner,South Africa,Southern Africa,A Harlequin in Profile,work on canvas,Stephan Welz & Co,johannesburg,46.0,46.0,2008,4,2008,2511.0
9687,Dumile Feni,South Africa,Southern Africa,MANY ARMED FIGURE,work on paper,Russell Kaplan Auctioneers,johannesburg,26.0096,26.0096,2019,9,2019,2384.0
12700,Christo Coetzee,South Africa,Southern Africa,HYPER REAL SHOWS ALUMN,work on paper,Stephan Welz & Co,cape town,77.4954,77.4954,2009,5,2009,833.0
22066,Robert Hodgins,South Africa,Southern Africa,LOW LIFE,work on board,Strauss & Co,johannesburg,27.9908,27.9908,2019,5,2019,9895.0
